"map_Index","Domain_RN","Domain_AN","Domains_Color","Helix_Num","Helix_Color","SS_Table"
"1","I","1","1","H1","1","ECOLI_LSU"
"2","I","1","1","H1","1","ECOLI_LSU"
"3","I","1","1","H1","1","ECOLI_LSU"
"4","I","1","1","H1","1","ECOLI_LSU"
"5","I","1","1","H1","1","ECOLI_LSU"
"6","I","1","1","H1","1","ECOLI_LSU"
"7","I","1","1","H1","1","ECOLI_LSU"
"8","I","1","1","H1","1","ECOLI_LSU"
"9","I","1","1","H1","1","ECOLI_LSU"
"10","I","1","1","H1","1","ECOLI_LSU"
"11","I","1","1","H1","1","ECOLI_LSU"
"12","I","1","1","H1","1","ECOLI_LSU"
"13","I","1","1","H2","2","ECOLI_LSU"
"14","I","1","1","H2","2","ECOLI_LSU"
"15","I","1","1","H2","2","ECOLI_LSU"
"16","I","1","1","H2","2","ECOLI_LSU"
"17","I","1","1","H2","2","ECOLI_LSU"
"18","I","1","1","H2","2","ECOLI_LSU"
"19","I","1","1","H2","2","ECOLI_LSU"
"20","I","1","1","H2","2","ECOLI_LSU"
"21","I","1","1","H2","2","ECOLI_LSU"
"22","I","1","1","H2","2","ECOLI_LSU"
"23","I","1","1","H2","2","ECOLI_LSU"
"24","I","1","1","H2","2","ECOLI_LSU"
"25","I","1","1","H2","2","ECOLI_LSU"
"26","I","1","1","H2","2","ECOLI_LSU"
"27","I","1","1","H2","2","ECOLI_LSU"
"28","I","1","1","H2","2","ECOLI_LSU"
"29","I","1","1","H2","2","ECOLI_LSU"
"30","I","1","1","H2","2","ECOLI_LSU"
"31","I","1","1","H3","3","ECOLI_LSU"
"32","I","1","1","H3","3","ECOLI_LSU"
"33","I","1","1","H4","4","ECOLI_LSU"
"34","I","1","1","H4","4","ECOLI_LSU"
"35","I","1","1","H4","4","ECOLI_LSU"
"36","I","1","1","H4","4","ECOLI_LSU"
"37","I","1","1","H4","4","ECOLI_LSU"
"38","I","1","1","H4","4","ECOLI_LSU"
"39","I","1","1","H4","4","ECOLI_LSU"
"40","I","1","1","H4","4","ECOLI_LSU"
"41","I","1","1","H4","4","ECOLI_LSU"
"42","I","1","1","H4","4","ECOLI_LSU"
"43","I","1","1","H4","4","ECOLI_LSU"
"44","I","1","1","H4","4","ECOLI_LSU"
"45","I","1","1","H4","4","ECOLI_LSU"
"46","I","1","1","H4","4","ECOLI_LSU"
"47","I","1","1","H4","4","ECOLI_LSU"
"48","I","1","1","H5","1","ECOLI_LSU"
"49","I","1","1","H5","1","ECOLI_LSU"
"50","I","1","1","H5","1","ECOLI_LSU"
"51","I","1","1","H5","1","ECOLI_LSU"
"52","I","1","1","H5","1","ECOLI_LSU"
"53","I","1","1","H5","1","ECOLI_LSU"
"54","I","1","1","H5","1","ECOLI_LSU"
"55","I","1","1","H5","1","ECOLI_LSU"
"56","I","1","1","H5","1","ECOLI_LSU"
"57","I","1","1","H6","2","ECOLI_LSU"
"58","I","1","1","H6","2","ECOLI_LSU"
"59","I","1","1","H6","2","ECOLI_LSU"
"60","I","1","1","H6","2","ECOLI_LSU"
"61","I","1","1","H6","2","ECOLI_LSU"
"62","I","1","1","H6","2","ECOLI_LSU"
"63","I","1","1","H6","2","ECOLI_LSU"
"64","I","1","1","H6","2","ECOLI_LSU"
"65","I","1","1","H6","2","ECOLI_LSU"
"66","I","1","1","H6","2","ECOLI_LSU"
"67","I","1","1","H6","2","ECOLI_LSU"
"68","I","1","1","H6","2","ECOLI_LSU"
"69","I","1","1","H6","2","ECOLI_LSU"
"70","I","1","1","H6","2","ECOLI_LSU"
"71","I","1","1","H6","2","ECOLI_LSU"
"72","I","1","1","H6","2","ECOLI_LSU"
"73","I","1","1","H6","2","ECOLI_LSU"
"74","I","1","1","H6","2","ECOLI_LSU"
"75","I","1","1","H7","3","ECOLI_LSU"
"76","I","1","1","H7","3","ECOLI_LSU"
"77","I","1","1","H7","3","ECOLI_LSU"
"78","I","1","1","H7","3","ECOLI_LSU"
"79","I","1","1","H7","3","ECOLI_LSU"
"80","I","1","1","H7","3","ECOLI_LSU"
"81","I","1","1","H7","3","ECOLI_LSU"
"82","I","1","1","H7","3","ECOLI_LSU"
"83","I","1","1","H7","3","ECOLI_LSU"
"84","I","1","1","H7","3","ECOLI_LSU"
"85","I","1","1","H7","3","ECOLI_LSU"
"86","I","1","1","H7","3","ECOLI_LSU"
"87","I","1","1","H7","3","ECOLI_LSU"
"88","I","1","1","H7","3","ECOLI_LSU"
"89","I","1","1","H7","3","ECOLI_LSU"
"90","I","1","1","H7","3","ECOLI_LSU"
"91","I","1","1","H7","3","ECOLI_LSU"
"92","I","1","1","H7","3","ECOLI_LSU"
"93","I","1","1","H7","3","ECOLI_LSU"
"94","I","1","1","H7","3","ECOLI_LSU"
"95","I","1","1","H7","3","ECOLI_LSU"
"96","I","1","1","H7","3","ECOLI_LSU"
"97","I","1","1","H7","3","ECOLI_LSU"
"98","I","1","1","H7","3","ECOLI_LSU"
"99","I","1","1","H7","3","ECOLI_LSU"
"100","I","1","1","H7","3","ECOLI_LSU"
"101","I","1","1","H7","3","ECOLI_LSU"
"102","I","1","1","H7","3","ECOLI_LSU"
"103","I","1","1","H7","3","ECOLI_LSU"
"104","I","1","1","H7","3","ECOLI_LSU"
"105","I","1","1","H7","3","ECOLI_LSU"
"106","I","1","1","H7","3","ECOLI_LSU"
"107","I","1","1","H7","3","ECOLI_LSU"
"108","I","1","1","H7","3","ECOLI_LSU"
"109","I","1","1","H7","3","ECOLI_LSU"
"110","I","1","1","H7","3","ECOLI_LSU"
"111","I","1","1","H7","3","ECOLI_LSU"
"112","I","1","1","H7","3","ECOLI_LSU"
"113","I","1","1","H7","3","ECOLI_LSU"
"114","I","1","1","H5","1","ECOLI_LSU"
"115","I","1","1","H5","1","ECOLI_LSU"
"116","I","1","1","H5","1","ECOLI_LSU"
"117","I","1","1","H5","1","ECOLI_LSU"
"118","I","1","1","H5","1","ECOLI_LSU"
"119","I","1","1","H5","1","ECOLI_LSU"
"120","I","1","1","H5","1","ECOLI_LSU"
"121","I","1","1","H8","4","ECOLI_LSU"
"122","I","1","1","H8","4","ECOLI_LSU"
"123","I","1","1","H8","4","ECOLI_LSU"
"124","I","1","1","H8","4","ECOLI_LSU"
"125","I","1","1","H8","4","ECOLI_LSU"
"126","I","1","1","H8","4","ECOLI_LSU"
"127","I","1","1","H8","4","ECOLI_LSU"
"128","I","1","1","H8","4","ECOLI_LSU"
"129","I","1","1","H8","4","ECOLI_LSU"
"130","I","1","1","H8","4","ECOLI_LSU"
"131","I","1","1","H9","1","ECOLI_LSU"
"132","I","1","1","H9","1","ECOLI_LSU"
"133","I","1","1","H9","1","ECOLI_LSU"
"134","I","1","1","H9","1","ECOLI_LSU"
"135","I","1","1","H9","1","ECOLI_LSU"
"136","I","1","1","H9","1","ECOLI_LSU"
"137","I","1","1","H9","1","ECOLI_LSU"
"138","I","1","1","H9","1","ECOLI_LSU"
"139","I","1","1","H9","1","ECOLI_LSU"
"140","I","1","1","H9","1","ECOLI_LSU"
"141","I","1","1","H9","1","ECOLI_LSU"
